Commitment_Amount_INR_Cr,Commitment_Letter__Conclusion,Current_Status,Date_of_first_meeting__call,Due_Diligence__Queries,FeelerTeaserLetter_Sent,Initial_Appraisal__Evaluation_process_started,Initial__Final_Drawdown,Investor_Type,Meetings__Detailed_DiscussionsIM_Sent,Notes,Organisation,Reference,Responsibility_TNIFMC,Status_Open__Closed,TNIFMC_Request_INR_Cr
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,Not Investing in AIFs,DCB Bank,Propreitory,K. Ganapathy Subramanian,Declined,0
0,False,,1725148800000,False,True,False,False,Foreign Banks / Insurance Companies,False,Is not investing in any AIFs in India from the India office. Shall revert if it can be done from HQ,Deutsche Bank,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1682899200000,False,True,False,False,PSU Banks / PFIs,False,,Dhanlaxmi Bank,Propreitory,K. Ganapathy Subramanian,Closed / Deferred,5
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,European Investment Bank,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1682899200000,False,True,False,False,Domestic Pension Funds / Insurance Companies/MFs,False,Requested for intro by Sigy Thomas,Federal Bank,CFM,K. Ganapathy Subramanian,Closed / Deferred,10
0,False,,1717200000000,False,True,False,False,Corporates,False,0,GAIL,SKC,K. Ganapathy Subramanian,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Harbourvest Partners,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,IFU ,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,False,False,Corporates,False,0,Indian Oil,SKC,K. Ganapathy Subramanian,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,InvestAlberta,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,True,False,False,PSU Banks / PFIs,False,Not Investing in AIFs,Karnataka Bank,CFM,K. Ganapathy Subramanian,Declined,0
0,False,,1685577600000,False,True,False,False,PSU Banks / PFIs,False,,KfW,Propreitory,K. Ganapathy Subramanian,Open,100
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,LGT Capital Partners AG,Propreitory,Krishna Chaitanya K,Declined,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Macquaire,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,HNIs / Family Offices,False,,MSDF,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,False,False,Corporates,False,0,NHPC,SKC,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,False,False,Corporates,False,0,NMDC,SKC,K. Ganapathy Subramanian,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Nordic Development Fund,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Nordic Investment Bank,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1683417600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,0,Norfund,Propreitory,Krishna Chaitanya K,Open,100
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,Currently not focussing on India based funds,Nova Scotia Pension Agency,Propreitory,Krishna Chaitanya K,Declined,0
0,False,,1717200000000,False,True,False,False,Others,False,0,NTPC,SKC,K. Ganapathy Subramanian,Open,0
0,False,,1717200000000,False,True,False,False,Others,False,0,ONGC,SKC,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Saudi Investment Bank,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,Foreign Banks / Insurance Companies,False,,Sberbank,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,True,False,False,Others,False,,SEWA Girh Rin Limited,Propreitory,Sathanbabu Mathankumar,Declined,0
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,Maybe for next Sheltyer Fund,Shelter Afrique,Propreitory,Sathanbabu Mathankumar,Closed / Deferred,0
0,False,,1725148800000,False,True,False,False,Domestic / Foreing PE/VC Funds,False,Currently not investing in India as a FoF,Star Capital Partners LLP,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1725148800000,False,True,False,False,Foreign Banks / Insurance Companies,False,,Sumitomo Mitsui Banking Corporation,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,SUSI Partners AG,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1682899200000,False,True,False,False,Private Sector / Foreign  Banks in India / NBFCs,False,,Tamilnad Mercantile Bank Limited,CFM,K. Ganapathy Subramanian,Declined,5
0,False,,1685577600000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,The Global Steering Group for Impact Investment (GSG),Propreitory,Satish S,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Touristic Enterprises Company,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1678752000000,False,True,False,False,PSU Banks / PFIs,False,Dhiraj,UBI,CFM,Krishna Chaitanya K,Closed / Deferred,25
0,False,,1725148800000,False,True,False,False,Foreign Banks / Insurance Companies,False,,VTB Capital,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,17 Capital Services Limited,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,51 North Capital GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Absolute Research GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Access Capital Partners GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Adams Street GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Aegon Asset Management,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,AHP Capital Management GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Ai Aafiyah Associates FZE,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Albourne Partners Deutschland AG,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Alcentra Limited,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,AllianceBernstein (Luxembourg) S.à r.l.,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Allianz Global Investors GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Alpha Associates AG,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1685577600000,False,False,False,False,Advisor,False,,Altair Consultancy and Advisory Services Ltd ,Propreitory,Satish S,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,AltamarCAM Partners,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Alterdomus Deutschland GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Ampega Asset Management GmbH,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,False,False,False,SWFs / MFIs / Pension Funds / FoFs,False,,Amundi Deutschland ,Propreitory,Krishna Chaitanya K,Open,0
